序号,设备名称,规格参数,接口类型,数量,单价(元),总价(元),是否必需,用途说明,备注
1,国产化开发板,8GB内存+16GB存储,双千兆网口+GPIO+I2C+SPI+ADC+HDMI,1,3000,3000,必需,核心边缘网关，运行鸿蒙系统，连接传感器，中转IoT平台数据,要求支持OpenHarmony
2,固态硬盘,256GB NVMe M.2,M.2接口,1,189,189,推荐,扩展存储，存放AI模型、日志、本地数据库,非必需可后期加装
3,无线网卡模块,双频WiFi6+蓝牙5.2,M.2接口,1,49,49,推荐,无线通信，连接WiFi网络,非必需可后期加装
4,电源适配器,12V 5A DC接口 带过载保护,DC接口,1,39,39,必需,给开发板供电,核心供电设备
5,开发板外壳,铝型材外壳 带散热片,定制,1,120,120,推荐,保护开发板，散热，美观,非必需
6,温湿度传感器,精度±0.3℃/±2%RH,I2C,4,18,72,必需,监测棚内空气温度和湿度,基础传感器
7,光照强度传感器,0-65535lux 16位ADC,I2C,2,10,20,必需,监测棚内光照强度，用于补光控制,基础传感器
8,二氧化碳传感器,400-5000ppm 红外NDIR,I2C,2,99,198,推荐,监测棚内二氧化碳浓度，用于通风控制,环境监测
9,土壤湿度传感器,电容式 耐腐蚀探针,模拟量(ADC),4,15,60,必需,监测土壤含水量，用于灌溉控制,基础传感器
10,土壤温度传感器,防水探针 -55~125℃,单总线,2,12,24,推荐,监测土壤温度，影响作物生长,环境监测
11,土壤pH传感器,0-14pH 带温度补偿,模拟量(ADC),2,45,90,推荐,监测土壤酸碱度，指导施肥,环境监测
12,空气压力传感器,300-1100hPa,I2C,1,15,15,可选,监测气压变化，辅助气象判断,辅助监测
13,风速传感器,0-30m/s 三杯式,RS485,1,129,129,可选,监测室外风速，用于通风决策,气象监测
14,雨量传感器,翻斗式 分辨率0.2mm,RS485,1,99,99,可选,监测降雨，用于关闭天窗,气象监测
15,微型轴流风扇,5V 低噪音,继电器/MOS控制,4,12,48,必需,模拟通风扇，温度过高时开启降温,核心执行器
16,LED植物补光灯,全光谱 红蓝光+白光,PWM调光,4,79,316,必需,光照不足时开启补光，促进植物生长,核心执行器
17,微型直流水泵,5V 流量2-3L/min,继电器/MOS控制,2,25,50,必需,模拟灌溉系统，土壤干燥时开启浇水,核心执行器
18,步进电机及驱动,配驱动板,GPIO,2,25,50,推荐,模拟卷帘机，控制大棚天窗开合,机械控制
19,电磁阀,12V 常闭型,继电器控制,2,45,90,推荐,控制滴灌系统开关,灌溉控制
20,加热膜,防水加热片,继电器控制,2,55,110,可选,温度过低时加热保温,温控设备
21,USB高清摄像头,720P 30FPS 内置麦克风,USB,2,129,258,必需,实时监控大棚内部，用于AI病虫害识别,视频采集
22,网络摄像头,400万像素 POE供电 红外夜视,网络POE,1,459,459,推荐,高清监控，支持远程查看,高清监控
23,多路继电器模块,8路光耦隔离 10A继电器,GPIO控制,2,35,70,必需,控制执行器开关，隔离弱电与强电,核心模块
24,ADC扩展板,16位精度,I2C,1,55,55,必需,扩展模拟量采集，提升精度,核心模块
25,RS485通信模块,TTL转RS485,串口,1,12,12,可选,连接RS485接口的传感器,通信模块
26,I2C扩展板,8通道多路复用器,I2C,1,35,35,推荐,扩展I2C接口数量，连接更多传感器,接口扩展
27,千兆POE交换机,5口POE 60W总功率,网络,1,199,199,推荐,网络连接，POE供电给摄像头,网络设备
28,沙盘底座,1200x800x100mm 木质喷漆 带走线槽,定制,1,550,550,必需,沙盘整体底座，放置所有设备,核心结构件
29,大棚骨架,铝合金型材,定制,20米,15,300,必需,搭建大棚框架结构,核心结构件
30,亚克力大棚罩,1000x600x500mm 5mm透明,定制,1,450,450,必需,大棚透明罩，防尘，展示效果好,核心结构件
31,3D打印定制件,PLA材质 传感器支架+执行器固定件+装饰件,定制,1套,280,280,推荐,定制化固定和装饰零件,定制零件
32,土壤模拟箱,亚克力 带刻度,定制,4,55,220,必需,放置土壤和土壤传感器,实验容器
33,滴灌管及喷头,4mm PE管+雾化喷头,定制,1套,60,60,推荐,模拟滴灌系统,灌溉展示
34,遮阳网,黑色 遮阳率70%,定制,1平方米,20,20,可选,模拟遮阳设施,辅助设施
35,杜邦线套装,公对公/公对母/母对母 各50条,标准,1套,50,50,必需,快速接线，连接模块,基础耗材
36,面包板,大号 830孔,标准,2,20,40,必需,临时搭建电路，调试用,调试工具
37,热缩管套装,φ2-φ10混装,标准,1套,35,35,必需,电线绝缘保护,绝缘材料
38,电工胶带,黑/红色 18mm宽,标准,5卷,5,25,必需,固定电线,固定材料
39,电源线,多芯铜线 20米,标准,20米,5,100,必需,主干供电线路,供电线材
40,屏蔽信号线,屏蔽线 30米,标准,30米,4,120,推荐,传感器信号传输，抗干扰,信号线材
41,网线,超五类非屏蔽 50米,标准,50米,3,150,必需,网络连接,网络线材
42,接线端子,XH2.54/PH2.0套装,标准,1套,40,40,必需,规范接线,连接件
43,电烙铁套装,60W调温 含焊锡丝烙铁架,标准,1套,89,89,必需,焊接电线和端子,焊接工具
44,数字万用表,自动量程 带蜂鸣电容测量,标准,1台,99,99,必需,电路调试，测量电压电流电阻,测量工具
45,备用传感器包,常用传感器各1个,标准,1套,60,60,推荐,损坏备用,备用件
46,备用继电器模块,2路继电器,标准,2,15,30,推荐,损坏备用,备用件
47,备用电源适配器,12V 5A,标准,1,39,39,推荐,备用电源，防止故障,备用件
,,,完整版合计,,,10862,,,
,,,备用金30%,,,3259,,,
,,,总计,,,14121,,,
